name	@lat	@lon
Nasielsk	52.5867531	20.8130115
Zbąszynek	52.2436262	15.8138946
Zbąszyń	52.2501028	15.9209286
Zagórów	52.1689900	17.9001600
Wolsztyn	52.1172500	16.1126622
Wielichowo	52.1182673	16.3521384
Turek	52.0159500	18.5019100
Tuliszków	52.0770973	18.2949320
Trzciel	52.3651660	15.8732130
Torzym	52.3138586	15.0828279
Świebodzin	52.2498357	15.5324973
Sulęcin	52.4413768	15.1161501
Sulechów	52.0854782	15.6259091
Stęszew	52.2793539	16.6999331
Śrem	52.0893322	17.0156809
Sompolno	52.3884355	18.5030075
Śmigiel	52.0127440	16.5271118
Ślesin	52.3708200	18.3059300
Rzepin	52.3443200	14.8382902
Rychwał	52.0706234	18.1668295
Pyzdry	52.1694332	17.6871340
Puszczykowo	52.2884282	16.8596018
Przedecz	52.3341735	18.8985119
Pobiedziska	52.4773387	17.2870352
Ośno Lubuskie	52.4551320	14.8682003
Opalenica	52.3088119	16.4124256
Nowy Tomyśl	52.3177643	16.1291553
Miłosław	52.2023105	17.4892236
Międzyrzecz	52.4448261	15.5786370
Lwówek	52.4489307	16.1803554
Książ Wielkopolski	52.0623513	17.2395591
Kostrzyn	52.3983662	17.2275394
Kościan	52.0863250	16.6449995
Kórnik	52.2492751	17.0901242
Kleczew	52.3707265	18.1779886
Kargowa	52.0719225	15.8648044
Izbica Kujawska	52.4192500	18.7643500
Grodzisk Wielkopolski	52.2263198	16.3628106
Golina	52.2427600	18.0953400
Dąbie	52.0871691	18.8220738
Czerniejewo	52.4296119	17.4893980
Czempiń	52.1431479	16.7613308
Cybinka	52.1940293	14.7968841
Buk	52.3574080	16.5166799
Babimost	52.1653120	15.8285175
Zakroczym	52.4333534	20.6116771
Ząbki	52.2934961	21.1157408
Wyszogród	52.3883717	20.1913084
Wiskitki	52.0868993	20.3832461
Siennica	52.0915526	21.6193996
Sochaczew	52.2296562	20.2379379
Pruszków	52.1626141	20.8080199
Podkowa Leśna	52.1217773	20.7295541
Ożarów Mazowiecki	52.2080548	20.7941606
Otwock	52.1041197	21.2681092
Nowy Dwór Mazowiecki	52.4306508	20.7154712
Mrozy	52.1655506	21.8001682
Mińsk Mazowiecki	52.1812046	21.5587372
Milanówek	52.1266493	20.6641191
Łomianki	52.3355273	20.8950120
Legionowo	52.3952285	20.9308309
Konstancin-Jeziorna	52.0834787	21.1208073
Karczew	52.0782795	21.2508068
Józefów	52.1361065	21.2345510
Grodzisk Mazowiecki	52.1066223	20.6313441
Dobre	52.3217100	21.6785200
Czerwińsk nad Wisłą	52.3940182	20.3123715
Brwinów	52.1425551	20.7170701
Błonie	52.1946065	20.6169694
Żychlin	52.2440088	19.6260932
Sanniki	52.3308900	19.8669300
Lubień Kujawski	52.4073600	19.1601800
Łowicz	52.1076830	19.9447873
Kiernozia	52.2687653	19.8710998
Gostynin	52.4287607	19.4612956
Gąbin	52.3994200	19.7307200
Dąbrowice	52.3156388	19.0845100
Chodecz	52.4051735	19.0272596
Żmigród	51.4717386	16.9082719
Złoczew	51.4180515	18.6060256
Zgorzelec	51.1477005	15.0079028
Zduńska Wola	51.6028615	18.9333201
Zawidów	51.0257493	15.0610053
Żary	51.6385162	15.1422487
Żagań	51.6148068	15.3203721
Wschowa	51.8038354	16.3172771
Wołów	51.3363841	16.6486903
Wołczyn	51.0190253	18.0496030
Wleń	51.0168814	15.6744645
Wieruszów	51.2951647	18.1510623
Węgliniec	51.2871203	15.2241355
Uniejów	51.9741302	18.7932450
Twardogóra	51.3645570	17.4695990
Trzebnica	51.3096424	17.0625960
Szlichtyngowa	51.7140748	16.2445989
Szadek	51.6917500	18.9770300
Syców	51.3078551	17.7198113
Świerzawa	51.0150774	15.8920701
Stawiszyn	51.9182364	18.1115413
Sieradz	51.5942475	18.7378774
Siechnice	51.0323875	17.1507275
Ścinawa	51.4165346	16.4259732
Rychtal	51.1448363	17.8484940
Rawicz	51.6101629	16.8583657
Raszków	51.7182066	17.7277057
Przemków	51.5275418	15.7874473
Prusice	51.3707663	16.9626816
Prochowice	51.2734220	16.3644321
Praszka	51.0553600	18.4485221
Poniec	51.7650386	16.8059899
Pogorzela	51.8224142	17.2310362
Poddębice	51.8926555	18.9518908
Pleszew	51.8960985	17.7865673
Pieńsk	51.2457834	15.0449871
Ostrzeszów	51.4257664	17.9331788
Ostrów Wielkopolski	51.6495023	17.8167085
Osjaków	51.2888829	18.7912573
Opatówek	51.7394437	18.2137254
Odolanów	51.5742177	17.6735140
Oborniki Śląskie	51.3010662	16.9145509
Nowogród Bobrzański	51.7986474	15.2365032
Nowe Skalmierzyce	51.7109127	17.9943345
Namysłów	51.0766258	17.7185619
Kępno	51.2790265	17.9866632
Milicz	51.5319957	17.2752485
Mikstat	51.5315251	17.9710681
Miękinia	51.1909640	16.7386851
Miejska Górka	51.6552093	16.9561451
Lututów	51.3712494	18.4346007
Lubsko	51.7881902	14.9721266
Lubomierz	51.0124569	15.5102200
Krotoszyn	51.6959260	17.4374158
Jutrosin	51.6536197	17.1689896
Jelcz-Laskowice	51.0398306	17.3499638
Jawor	51.0504653	16.1932008
Jaraczewo	51.9689115	17.2981142
Iłowa	51.5006828	15.1984599
Gubin	51.9509817	14.7272814
Grabów nad Prosną	51.5060515	18.1188808
Gozdnica	51.4373182	15.0960336
Gorzów Śląski	51.0281551	18.4222682
Działoszyn	51.1168037	18.8651633
Chojnów	51.2722894	15.9335241
Chocz	51.9752124	17.8706873
Chocianów	51.4168327	15.8986889
Bytom Odrzański	51.7308267	15.8269180
Byczyna	51.1142355	18.2143288
Brzeg Dolny	51.2691744	16.7083805
Borek Wielkopolski	51.9161530	17.2425955
Bolesławiec	51.1982347	18.1921323
Bojanowo	51.7070018	16.7487692
Błaszki	51.6525206	18.4333114
Bierutów	51.1252738	17.5400351
Żarnów	51.2479931	20.1720504
Wąchock	51.0738120	21.0116897
Tomaszów Mazowiecki	51.5316918	20.0084195
Tarczyn	51.9802935	20.8339613
Suchedniów	51.0472338	20.8386652
Stąporków	51.1380145	20.5573073
Rawa Mazowiecka	51.7624929	20.2519293
Radoszyce	51.0736699	20.2597677
Przytyk	51.4686233	20.9021847
Poniatowa	51.1929800	22.0650500
Pilawa	51.9595452	21.5271524
Osieck	51.9662000	21.4187500
Opole Lubelskie	51.1475365	21.9664152
Opoczno	51.3782439	20.2931754
Odrzywół	51.5193078	20.5558180
Nowe Miasto nad Pilicą	51.6166920	20.5796171
Nałęczów	51.2876064	22.2147920
Mszczonów	51.9740309	20.5126683
Magnuszew	51.7624237	21.3828034
Lipsko	51.1585130	21.6490099
Końskie	51.1910223	20.4071836
Kazimierz Dolny	51.3220058	21.9473720
Jastrząb	51.2468739	20.9488245
Inowłódz	51.5236969	20.2228852
Iłża	51.1624174	21.2374622
Gowarczów	51.2784974	20.4381420
Góra Kalwaria	51.9843765	21.2140226
Gielniów	51.3997224	20.4762225
Ciepielów	51.2482289	21.5741193
Biała Rawska	51.8075978	20.4720942
Białaczów	51.2984660	20.2949544
Bełżyce	51.1750630	22.2749995
Zelów	51.4650276	19.2195805
Wolbórz	51.5036311	19.8303190
Tuszyn	51.6030800	19.5445400
Sulejów	51.3549202	19.8890802
Rzgów	51.6627785	19.4908887
Rozprza	51.3022006	19.6471691
Radomsko	51.0674769	19.4446109
Parzęczew	51.9489300	19.2071600
Pabianice	51.6639859	19.3535024
Lutomiersk	51.7550121	19.2120994
Łask	51.5929947	19.1334784
Konstantynów Łódzki	51.7475546	19.3255118
Koluszki	51.7444956	19.8179660
Kamieńsk	51.2041720	19.4970714
Jeżów	51.8134520	19.9687952
Głowno	51.9660873	19.7135665
Aleksandrów Łódzki	51.8196533	19.3035375
Wodzisław	50.5211403	20.1909163
Wiślica	50.3484831	20.6745381
Szydłów	50.5907684	21.0045698
Stopnica	50.4382587	20.9385676
Staszów	50.5612276	21.1677849
Sokołów Małopolski	50.2311643	22.1189272
Słomniki	50.2403739	20.0811369
Skalbmierz	50.3170888	20.3996843
Sędziszów Małopolski	50.0715996	21.7007524
Sędziszów	50.5647810	20.0538047
Sandomierz	50.6793066	21.7495055
Ropczyce	50.0528608	21.6116324
Przeworsk	50.0601735	22.4923769
Proszowice	50.1926479	20.2917555
Połaniec	50.4329071	21.2810473
Pińczów	50.5201929	20.5256241
Pierzchnica	50.6974266	20.7544258
Piekoszów	50.8814220	20.4642464
Pacanów	50.3999656	21.0409852
Ożarów	50.8864089	21.6656244
Ostrowiec Świętokrzyski	50.9398768	21.3874300
Opatów	50.8017661	21.4238281
Oleszyce	50.1682003	23.0314836
Nowy Korczyn	50.2994316	20.8090569
Nowe Brzesko	50.1322823	20.3767203
Nowa Słupia	50.8640377	21.0907296
Nowa Sarzyna	50.3198578	22.3433771
Nowa Dęba	50.4134850	21.7541268
Niepołomice	50.0331163	20.2171599
Morawica	50.7478149	20.6181270
Mielec	50.2895423	21.4228413
Miechów	50.3566016	20.0276912
Małogoszcz	50.8123487	20.2648324
Lubaczów	50.1574473	23.1225859
Łopuszno	50.9486160	20.2505964
Leżajsk	50.2621687	22.4188920
Łaszczów	50.5326150	23.7263929
Łańcut	50.0690725	22.2320924
Kunów	50.9541063	21.2788230
Książ Wielki	50.4429446	20.1399453
Krasnobród	50.5460046	23.2115593
Koprzywnica	50.5932218	21.5847266
Kolbuszowa	50.2433277	21.7754563
Klimontów	50.6563871	21.4506186
Kazimierza Wielka	50.2674890	20.4853308
Jędrzejów	50.6394435	20.3046116
Iwaniska	50.7314289	21.2811110
Głogów Małopolski	50.1511809	21.9627571
Dębica	50.0514601	21.4104804
Działoszyce	50.3654682	20.3521471
Daleszyce	50.8019910	20.8066334
Dąbrowa Tarnowska	50.1743495	20.9850707
Ćmielów	50.8918364	21.5100875
Cieszanów	50.2454329	23.1301265
Busko-Zdrój	50.4675900	20.7191900
Bogoria	50.6519146	21.2601913
Bodzentyn	50.9409927	20.9573478
Baranów Sandomierski	50.4994982	21.5417887
Zawiercie	50.4844179	19.4333887
Żarki	50.6259563	19.3645599
Włodowice	50.5520931	19.4504273
Trzebinia	50.1597686	19.4709097
Szczekociny	50.6259216	19.8194681
Siewierz	50.4710097	19.2318901
Przyrów	50.8051422	19.5254207
Oświęcim	50.0382443	19.2214053
Olkusz	50.2788158	19.5596307
Myszków	50.5736481	19.3219413
Libiąż	50.1030516	19.3147486
Krzeszowice	50.1350246	19.6320164
Koniecpol	50.7725294	19.6769723
Imielin	50.1467621	19.1854676
Czeladź	50.3184581	19.0736572
Chrzanów	50.1411926	19.4028502
Bukowno	50.2669741	19.4613822
Bieruń	50.0931922	19.0918262
Będzin	50.3230785	19.1322201
Alwernia	50.0690434	19.5396737
Złoty Stok	50.4445454	16.8756509
Zdzieszowice	50.4202928	18.1193187
